Fecha de registro;numero_radicado;nit_proveedor;nombre_proveedor;moneda;fecha_factura;numero_factura;pedido;valor_total;estado_factura;categoria;tipo_factura;responsable
17/02/2025;NT00001;NIT0000000018;E.ON;COP;23/08/2022;FAC-14;PED-4928;$ 54.000.000;Pagada;Energía;Electronica;Responsable 4
22/03/2022;NT00002;NIT0000000032;Enel;COP;8/01/2025;FAC-25;PED-5712;$ 20.000.000;Pendiente;Energía;Fisica;Responsable 5
20/07/2023;NT00003;NIT0000000040;RWE;COP;9/04/2025;FAC-29;PED-6000;$ 19.000.000;Pendiente;Energía;Fisica;Responsable 9
14/11/2024;NT00004;NIT0000000018;E.ON;COP;18/04/2022;FAC-44;PED-7028;$ 18.000.000;Pagada;Energía;Electronica;Responsable 4
4/04/2023;NT00005;NIT0000000032;Enel;COP;18/05/2023;FAC-55;PED-7812;$ 60.000.000;Pendiente;Energía;Fisica;Responsable 5
27/07/2024;NT00006;NIT0000000018;E.ON;COP;12/11/2022;FAC-74;PED-9128;$ 54.000.000;Pagada;Energía;Electronica;Responsable 4
27/01/2025;NT00007;NIT0000000032;Enel;COP;20/09/2025;FAC-85;PED-9912;$ 60.000.000;Pendiente;Energía;Fisica;Responsable 5
17/11/2025;NT00008;NIT0000000008;IBM;COP;14/04/2022;FAC-111;PED-11708;$ 75.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
9/02/2022;NT00009;NIT0000000032;Enel;COP;4/05/2025;FAC-153;PED-14672;$ 60.000.000;Pendiente;Energía;Fisica;Responsable 3
23/03/2022;NT00010;NIT0000000008;IBM;COP;3/10/2025;FAC-213;PED-18848;$ 75.000.000;Pendiente;Tecnologia;Fisica;Responsable 3
20/04/2023;NT00011;NIT0000000008;IBM;COP;11/02/2025;FAC-315;PED-25988;$ 75.000.000;Pendiente;Tecnologia;Fisica;Responsable 5
27/03/2023;NT00012;NIT0000000040;RWE;COP;29/09/2025;FAC-333;PED-27280;$ 57.000.000;Pendiente;Energía;Fisica;Responsable 3
28/03/2025;NT00013;NIT0000000008;IBM;COP;26/11/2022;FAC-417;PED-33128;$ 75.000.000;Pendiente;Tecnologia;Fisica;Responsable 7
24/04/2024;NT00014;NIT0000000032;Enel;COP;9/09/2024;FAC-428;PED-33922;$ 40.000.000;Pagada;Energía;Electronica;Responsable 8
14/07/2023;NT00015;NIT0000000032;Enel;COP;5/02/2023;FAC-507;PED-39452;$ 40.000.000;Pendiente;Energía;Fisica;Responsable 7
14/12/2025;NT00016;NIT0000000008;IBM;COP;30/09/2024;FAC-543;PED-41948;$ 75.000.000;Pendiente;Tecnologia;Fisica;Responsable 3
13/01/2022;NT00017;NIT0000000008;IBM;COP;5/07/2024;FAC-645;PED-49088;$ 75.000.000;Pendiente;Tecnologia;Fisica;Responsable 5
29/11/2025;NT00018;NIT0000000008;IBM;COP;31/07/2023;FAC-747;PED-56228;$ 75.000.000;Pendiente;Tecnologia;Fisica;Responsable 7
30/08/2023;NT00019;NIT0000000032;Enel;COP;1/08/2024;FAC-813;PED-60872;$ 40.000.000;Pendiente;Energía;Fisica;Responsable 3
8/04/2024;NT00020;NIT0000000008;IBM;COP;4/11/2024;FAC-849;PED-63368;$ 75.000.000;Pendiente;Tecnologia;Fisica;Responsable 9
14/03/2023;NT00021;NIT0000000032;Enel;COP;30/11/2022;FAC-915;PED-68012;$ 40.000.000;Pendiente;Energía;Fisica;Responsable 5
25/10/2025;NT00022;NIT0000000008;IBM;COP;24/01/2022;FAC-951;PED-70508;$ 75.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
28/02/2023;NT00023;NIT0000000068;EY;COP;18/05/2024;FAC-1207;PED-88488;$ 35.000.000;Pendiente;Servicios;Fisica;Responsable 7
7/04/2024;NT00024;NIT0000000011;Apple;COP;18/05/2025;FAC-1;PED-4011;$ 45.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
5/02/2024;NT00025;NIT0000000012;Intel;COP;27/05/2024;FAC-1;PED-4012;$ 32.000.000;Pendiente;Tecnologia;Fisica;Responsable 1
20/02/2025;NT00026;NIT0000000013;General Mills;COP;17/12/2023;FAC-1;PED-4013;$ 32.500.000;Pendiente;Alimentación;Fisica;Responsable 1
4/01/2023;NT00027;NIT0000000014;Unilever;COP;17/07/2025;FAC-1;PED-4014;$ 16.400.000;Pendiente;Alimentación;Fisica;Responsable 1
9/06/2023;NT00028;NIT0000000015;Dunkin Donuts;COP;11/09/2022;FAC-1;PED-4015;$ 70.000.000;Pendiente;Consultoría;Fisica;Responsable 1
1/06/2023;NT00029;NIT0000000017;Aramark;COP;18/09/2023;FAC-1;PED-4017;$ 12.000.000;Pendiente;Servicios Públicos;Fisica;Responsable 1
13/11/2025;NT00030;NIT0000000018;E.ON;COP;31/08/2025;FAC-1;PED-4018;$ 36.000.000;Pendiente;Energía;Fisica;Responsable 1
