Numero pedido;nit_proveedor;nombre_proveedor;Categoria;Producto
PED-4928;NIT0000000018;E.ON;Energ韆;
PED-5712;NIT0000000032;Enel;Energ韆;
PED-6000;NIT0000000040;RWE;Energ韆;
PED-7028;NIT0000000018;E.ON;Energ韆;
PED-7812;NIT0000000032;Enel;Energ韆;
PED-9128;NIT0000000018;E.ON;Energ韆;
PED-9912;NIT0000000032;Enel;Energ韆;
PED-11708;NIT0000000008;IBM;Tecnologia;
PED-14672;NIT0000000032;Enel;Energ韆;
PED-18848;NIT0000000008;IBM;Tecnologia;
PED-25988;NIT0000000008;IBM;Tecnologia;
PED-27280;NIT0000000040;RWE;Energ韆;
PED-33128;NIT0000000008;IBM;Tecnologia;
PED-33922;NIT0000000032;Enel;Energ韆;
PED-39452;NIT0000000032;Enel;Energ韆;
PED-41948;NIT0000000008;IBM;Tecnologia;
PED-49088;NIT0000000008;IBM;Tecnologia;
PED-56228;NIT0000000008;IBM;Tecnologia;
PED-60872;NIT0000000032;Enel;Energ韆;
PED-63368;NIT0000000008;IBM;Tecnologia;
PED-68012;NIT0000000032;Enel;Energ韆;
PED-70508;NIT0000000008;IBM;Tecnologia;
PED-88488;NIT0000000068;EY;Servicios;
PED-4011;NIT0000000011;Apple;Tecnologia;
PED-4012;NIT0000000012;Intel;Tecnologia;
PED-4013;NIT0000000013;General Mills;Alimentaci髇;
PED-4014;NIT0000000014;Unilever;Alimentaci髇;
PED-4015;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4016;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4017;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4018;NIT0000000018;E.ON;Energ韆;
PED-4019;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4020;NIT0000000020;Iberdrola;Energ韆;
PED-4021;NIT0000000021;Engie;Energ韆;
PED-4022;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4023;NIT0000000023;TCS;Servicios;
PED-4024;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4025;NIT0000000025;PwC;Servicios;
PED-4026;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4027;NIT0000000027;Duke Energy;Energ韆;
PED-4028;NIT0000000028;McKinsey;Servicios;
PED-4029;NIT0000000029;Danone;Alimentaci髇;
PED-4030;NIT0000000030;Facebook;Tecnologia;
PED-4031;NIT0000000031;Microsoft;Tecnologia;
PED-4032;NIT0000000032;Enel;Energ韆;
PED-4033;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4034;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4035;NIT0000000035;Kellogg;Alimentaci髇;
PED-4036;NIT0000000036;Southern Company;Energ韆;
PED-4037;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4038;NIT0000000038;G4S;Servicios P鷅licos;
PED-4039;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4040;NIT0000000040;RWE;Energ韆;
PED-4041;NIT0000000041;Juan Valdez;Consultor韆;
PED-4042;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4043;NIT0000000043;Serco;Servicios P鷅licos;
PED-4044;NIT0000000044;Soluciones IT;Consultor韆;
PED-4045;NIT0000000045;NextEra Energy;Energ韆;
PED-4046;NIT0000000046;Exelon;Energ韆;
